# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8840971832,5.307,132.065,997.045,4768.750,-4016.250,-2441.250,23.781,87,2165,16345,545,-459,-279,-312,0,0
8840981241,5.368,135.481,995.520,4935.000,-4025.000,-2423.750,23.773,88,2221,16320,564,-460,-277,-314,0,0
8840990647,6.588,130.601,994.971,4506.250,-4025.000,-2476.250,23.773,108,2141,16311,515,-460,-283,-314,0,0
8841000060,6.466,132.248,995.154,4838.750,-4007.500,-2476.250,23.789,106,2168,16314,553,-458,-283,-310,0,0
8841009468,5.612,136.213,996.618,4812.500,-3972.500,-2485.000,23.789,92,2233,16338,550,-454,-284,-310,0,0
8841018875,8.113,131.211,997.594,4497.500,-4025.000,-2458.750,23.789,133,2151,16354,514,-460,-281,-310,0,0
8841028282,5.368,134.444,998.631,4812.500,-4016.250,-2476.250,23.789,88,2204,16371,550,-459,-283,-310,0,0
8841037697,5.917,138.287,998.448,4882.500,-3998.750,-2467.500,23.820,97,2267,16368,558,-457,-282,-302,0,0
8841047105,7.381,134.444,993.568,4576.250,-4042.500,-2467.500,23.820,121,2204,16288,523,-462,-282,-302,0,0
8841056512,6.100,132.553,996.801,4707.500,-3990.000,-2450.000,23.773,100,2173,16341,538,-456,-280,-314,0,0
8841065927,5.917,135.603,1000.217,4917.500,-3981.250,-2476.250,23.773,97,2223,16397,562,-455,-283,-314,0,0
8841075335,6.161,134.566,994.971,4541.250,-4007.500,-2502.500,23.781,101,2206,16311,519,-458,-286,-312,0,0
8841084740,5.978,130.479,995.764,4558.750,-4086.250,-2502.500,23.781,98,2139,16324,521,-467,-286,-312,0,0
